"","TCGA.A2.A0D0.01A","TCGA.A7.A0CE.01A","TCGA.A8.A07O.01A","TCGA.A8.A08H.01A","TCGA.AN.A0AL.01A","TCGA.AN.A0AR.01A","TCGA.AN.A0FJ.01A","TCGA.A2.A04P.01A","TCGA.A2.A04Q.01A","TCGA.A2.A04T.01A","TCGA.A2.A0CM.01A","TCGA.A2.A0D2.01A","TCGA.A8.A07C.01A","TCGA.A8.A07R.01A","TCGA.A8.A07U.01A","TCGA.A8.A08R.01A","TCGA.AN.A04D.01A","TCGA.AN.A0AT.01A","TCGA.AN.A0FL.01A","TCGA.AN.A0FX.01A","TCGA.AN.A0G0.01A","TCGA.AO.A0J4.01A","TCGA.AO.A0J6.01A","TCGA.AQ.A04J.01A","TCGA.B6.A0I2.01A","TCGA.B6.A0I6.01A","TCGA.B6.A0IJ.01A","TCGA.B6.A0IQ.01A","TCGA.BH.A0E6.01A","TCGA.BH.A0HL.01A","TCGA.A2.A04U.01A","TCGA.A7.A0DA.01A","TCGA.AO.A12F.01A","TCGA.AR.A0TS.01A","TCGA.AR.A0U1.01A","TCGA.BH.A0AV.01A","TCGA.BH.A0BG.01A","TCGA.BH.A0BL.01A","TCGA.BH.A0BL.11A","TCGA.BH.A0BW.01A","TCGA.BH.A0BW.11A","TCGA.BH.A0DL.01A","TCGA.BH.A0DL.11A","TCGA.C8.A12K.01A","TCGA.C8.A12V.01A","TCGA.C8.A131.01A","TCGA.C8.A134.01A","TCGA.D8.A142.01A","TCGA.D8.A143.01A","TCGA.D8.A147.01A","TCGA.E2.A14R.01A","TCGA.E2.A14X.01A","TCGA.E2.A159.01A","TCGA.AR.A1AH.01A","TCGA.BH.A18G.01A","TCGA.BH.A18K.01A","TCGA.BH.A18K.11A","TCGA.BH.A18Q.01A","TCGA.BH.A18Q.11A","TCGA.BH.A18V.01A","TCGA.BH.A18V.11A","TCGA.E2.A14Y.01A","TCGA.E2.A14Y.11A","TCGA.E2.A150.01A","TCGA.E2.A158.01A","TCGA.E2.A158.11A","TCGA.BH.A0B3.01A","TCGA.BH.A0B9.01A","TCGA.AO.A0JL.01A","TCGA.BH.A0E0.01A","TCGA.B6.A0RE.01A","TCGA.A2.A0SX.01A","TCGA.A2.A0ST.01A","TCGA.A2.A0T2.01A","TCGA.B6.A0RU.01A","TCGA.B6.A0RT.01A","TCGA.A1.A0SK.01A","TCGA.BH.A0HN.01A","TCGA.AR.A0TP.01A","TCGA.BH.A0RX.01A","TCGA.A1.A0SO.01A","TCGA.A2.A0T0.01A","TCGA.AO.A124.01A","TCGA.AO.A128.01A","TCGA.AO.A129.01A","TCGA.A7.A0CE.11A","TCGA.BH.A0B3.11B","TCGA.BH.A0E0.11A","TCGA.AR.A0U4.01A","TCGA.A2.A0YJ.01A","TCGA.B6.A0X1.01A","TCGA.A2.A0YM.01A","TCGA.BH.A0WA.01A","TCGA.AR.A0U0.01A","TCGA.A2.A0YE.01A","TCGA.AN.A0XU.01A","TCGA.AR.A0TU.01A","TCGA.B6.A0WX.01A","TCGA.E2.A1B5.11A","TCGA.AR.A1AQ.01A","TCGA.A7.A13E.01A","TCGA.A7.A13E.11A","TCGA.AR.A1AJ.01A","TCGA.E2.A1B5.01A","TCGA.A7.A13D.01A","TCGA.E2.A1AZ.01A","TCGA.AR.A1AI.01A","TCGA.AR.A1AY.01A","TCGA.BH.A1F0.11B","TCGA.AR.A1AR.01A","TCGA.E2.A14N.01A","TCGA.BH.A1F0.01A"
"cg00136405",0.59012016,0.616161616,0.467833599,0.463130352,0.337707182,0.339805825,0.563166397,0.488068606,0.426181102,0.592941745,0.583543078,0.47817715,0.688048616,0.687695602,0.452057746,0.539781953,0.535312558,0.582951744,0.715121381,0.6764122,0.676986974,0.606729178,0.673404611,0.55308642,0.466331658,0.598965874,0.47005988,0.558839191,0.487012987,0.213350785,0.762430939,0.617948718,0.535365854,0.488663018,0.549835255,0.515550239,0.4375,0.519454606,0.454918033,0.344230769,0.458670989,0.306148867,0.5,0.494821092,0.413735343,0.233913702,0.545327755,0.210056391,0.405275779,0.38065661,0.596050269,0.408266129,0.24486692,0.4,0.686085973,0.296388543,0.546106557,0.585106383,0.407948094,0.49380805,0.487167942,0.301438053,0.490176322,0.340807175,0.112241844,0.563032368,0.719616474014653,0.878822151024663,0.895342791217436,0.77977514795025,0.848550465756455,0.653853783349216,0.566705793408918,0.720567972406175,0.851522170342133,0.651667627146781,0.898864704843478,0.865238787126094,0.873127739517495,0.648799327450679,0.857020031800067,0.534556214093728,0.794503007895198,0.497278272493456,0.792979463617626,0.811319840479613,0.760986762777478,0.748846291299711,0.877254967037713,0.725158018800863,0.787223739272115,0.8877616833092,0.776986568703575,0.693082331183069,0.859261630226912,0.84965644024774,0.822031286711985,0.799597435261979,0.775123252787463,0.624597723049713,0.938716447105891,0.718323662872992,0.692376404119793,0.550115872178176,0.856001710112581,0.664662026726285,0.605654950374879,0.907519180228764,0.710842445555562,0.594809776840078,0.696806990794792,0.719738074192192
"cg00208967",0.108216345,0.348324371,0.159794235,0.204592902,0.067042551,0.074278353,0.093814954,0.102688969,0.179511175,0.116981132,0.326304789,0.098604523,0.140381878,0.105286883,0.204191767,0.114361853,0.077549919,0.135382831,0.034906367,0.621793607,0.14215662,0.087302516,0.144247615,0.209239898,0.117233904,0.326974581,0.35195209,0.089549873,0.176850199,0.713690352,0.063187051,0.13217685,0.043916397,0.198996817,0.112127681,0.139157762,0.096055742,0.119047619,0.130742049,0.078486664,0.125463256,0.088746256,0.132456032,0.114915472,0.136494713,0.126297805,0.267686977,0.079886743,0.219767442,0.070693948,0.053387557,0.204360326,0.180133217,0.08586868,0.398729447,0.232686254,0.169115105,0.075843928,0.178166838,0.072898858,0.147124189,0.516011094,0.111964395,0.089313408,0.064330137,0.164587184,0.387551054588171,0.219696100993379,0.315746297229138,0.263975283365776,0.084133160239008,0.165101705587089,0.238196885995268,0.225095358173326,0.230745543696661,0.452393122138968,0.0552602431179989,0.172611653291394,0.102693936935267,0.265631969893858,0.240014105406945,0.225711774089935,0.0690734376033625,0.316204390494774,0.194291645878162,0.411481349376497,0.323564318445954,0.34811724877306,0.250337901102042,0.103643308718614,0.15763849743927,0.579898220717021,0.252763614507389,0.488499643207641,0.0897888945665374,0.103616005897484,0.172118628684379,0.303557048676647,0.2322754713363,0.373381925911343,0.085687328622865,0.300490197019426,0.245795652638065,0.444560234563512,0.571130035023351,0.221817076493902,0.15266185653181,0.101028240372664,0.280483931778456,0.201986924938497,0.269961155805275,0.297599871629964
"cg00294382",0.341365771,0.530336695,0.170751445,0.228244012,0.121229368,0.263089802,0.090088638,0.211412352,0.125290023,0.368286252,0.083586857,0.151605793,0.393173416,0.244336443,0.121716445,0.501271186,0.661845066,0.215079603,0.583501586,0.237816268,0.667124377,0.098823529,0.158762887,0.266098122,0.169554283,0.567472408,0.27973819,0.444491317,0.380072285,0.781475319,0.178343949,0.337653479,0.652271995,0.210205739,0.180227893,0.103973352,0.157831325,0.190126359,0.251150559,0.084169884,0.151333083,0.090183028,0.236961181,0.115668141,0.089026163,0.247373841,0.152466368,0.214203328,0.434920635,0.078906424,0.170998926,0.132611637,0.267048055,0.391624482,0.584419037,0.584227718,0.255829904,0.250777073,0.268068681,0.223190147,0.247873208,0.154270433,0.218135701,0.206756757,0.110036679,0.206990521,0.177051510702739,0.0845612953581817,0.713143800597424,0.522676047412801,0.147787077860036,0.17145406574817,0.126280113039036,0.574216957948923,0.466064292583908,0.202242200572601,0.696261595964399,0.832787965161682,0.841403333149265,0.37792898991032,0.846771678219735,0.372959149176196,0.336104655287465,0.152689380587285,0.213539069339311,0.473438958480925,0.507820352449132,0.480978648988452,0.133435057968411,0.597114900413783,0.346007296664596,0.0680297523358648,0.484574928427328,0.254919039759555,0.378118631008642,0.413262036202726,0.148499012064223,0.531230931316101,0.291858407019885,0.172604415549386,0.655216298017011,0.330377237081586,0.148447009152118,0.324352844186894,0.234348334226697,0.409152520854765,0.0698470409654331,0.122006193009045,0.295722660710655,0.141868883817078,0.21467638673835,0.2554811413092
"cg00297584",0.077297798,0.077623182,0.087685391,0.110489928,0.066618857,0.101932812,0.061388043,0.106016403,0.105619602,0.143759715,0.092370295,0.117610232,0.107490329,0.080488851,0.107081536,0.098298855,0.099451393,0.109954087,0.053228346,0.141057517,0.074717675,0.093186425,0.092380015,0.135748262,0.085114169,0.195753244,0.162773691,0.088821458,0.123324779,0.072001316,0.067326457,0.11734882,0.106980273,0.081767469,0.12616684,0.082488596,0.071379412,0.128035841,0.138015717,0.067689671,0.084339505,0.189289012,0.133410918,0.096515378,0.080399573,0.191485048,0.05426128,0.086206897,0.129181084,0.06921695,0.039836568,0.085975767,0.074557401,0.056831289,0.158193695,0.12923256,0.102957135,0.076658209,0.163933463,0.079774011,0.127672992,0.082186998,0.121520375,0.101149261,0.053837631,0.082845417,0.0704278959909007,0.0848839821989086,0.220651000881384,0.0473925870780975,0.0631833349621227,0.0610095045218243,0.0987673394905232,0.0571130664603063,0.0846526197046249,0.0897824203261385,0.0324581758176668,0.05342987584817,0.0900613180486727,0.0807852526513715,0.0332774494663364,0.0933276346561647,0.0402243092403456,0.0707045159643441,0.0673203126726735,0.200305632184177,0.275676778593951,0.167759084251877,0.168446243688653,0.0615229548728459,0.0480867980985946,0.0500396868753028,0.0607523757085105,0.0457759811329054,0.0662339865213579,0.0417680659566854,0.0474915958252383,0.0712607602116291,0.106044386619144,0.0844056047919896,0.0392236237907654,0.0923370926757643,0.0556278803248247,0.0757976321152846,0.08218043877178,0.0615019735940119,0.0627227167534806,0.0506791043484602,0.184182625151448,0.0647997587592816,0.0782867699308475,0.0357011692968792
"cg00328227",0.282478428,0.098287571,0.162003454,0.24972405,0.098102817,0.083966681,0.102058356,0.139649689,0.216627511,0.120734063,0.13329887,0.160832269,0.122165787,0.14978209,0.259270137,0.183044904,0.120797061,0.11489642,0.125328453,0.197791455,0.138815451,0.135939712,0.199427048,0.197502888,0.200269833,0.11619861,0.198189522,0.223555697,0.174137388,0.163140496,0.112402502,0.165998149,0.049837486,0.170870818,0.128917336,0.095506711,0.103831803,0.150942278,0.178424351,0.21591906,0.176424971,0.093505629,0.200859382,0.136797583,0.16833474,0.240847784,0.698752228,0.133568952,0.265944349,0.104647847,0.101619843,0.149116557,0.205080774,0.211868777,0.636600959,0.300412466,0.264515355,0.113611361,0.231785816,0.196098878,0.277366829,0.161802644,0.213714887,0.151075635,0.069824077,0.265822226,0.249580278406907,0.253213469914129,0.34572275283525,0.468915142929975,0.257759893765077,0.182344139930087,0.374271224809071,0.213059639299197,0.316236245208267,0.28577844226778,0.0569711228045436,0.680614802251737,0.12276028507142,0.384454327779488,0.0883911145814457,0.358412331824327,0.132030272788085,0.455846414099427,0.242645747252472,0.531965668885539,0.486969909314346,0.446884512880458,0.396840930915519,0.199740233505204,0.410939262276898,0.231656845840307,0.183892062956203,0.471786050147877,0.192140364933516,0.213806087149746,0.219361630985975,0.288928158861812,0.404865221177003,0.256266854396015,0.123695731400102,0.487340269060133,0.292047998269801,0.443137096187912,0.329607764415387,0.236168656180284,0.252605818276005,0.177439603491587,0.41459737750158,0.23765847704416,0.326673886233089,0.41268461958432
"cg00333226",0.141970329,0.091787829,0.146440012,0.269363073,0.202253098,0.085125082,0.115975745,0.11200258,0.463410049,0.146223889,0.169846362,0.213859795,0.311585595,0.083309581,0.274743275,0.185176075,0.113587087,0.149593964,0.842693338,0.102845026,0.244617989,0.148553738,0.531818742,0.145412579,0.130175997,0.113191885,0.179802752,0.114680024,0.176850968,0.16478952,0.072878229,0.076147128,0.096566983,0.165369747,0.176433059,0.083914811,0.089912442,0.106758677,0.060250391,0.118404054,0.188968926,0.120161579,0.110204418,0.152968488,0.259957603,0.441615287,0.878258761,0.138890261,0.08319306,0.108449198,0.079678542,0.129484536,0.133601916,0.075296075,0.064411809,0.120062636,0.084441007,0.096729662,0.09830132,0.086794254,0.088125334,0.050654737,0.097030561,0.101264138,0.092627882,0.071241109,0.172209830878404,0.226208596691141,0.0892450531466892,0.0975559124908915,0.0923497360186977,0.184481608711049,0.266403191281384,0.0994944448385804,0.0770097038399651,0.269982115796824,0.0626537354645206,0.661397159221977,0.087328165528397,0.291094434045411,0.0879171806577463,0.0951307466100327,0.104111373411821,0.248395383475282,0.151591974570062,0.171349457104933,0.212808841298427,0.112811937895021,0.0922022646774807,0.0966591464634857,0.151675224497071,0.110992255581297,0.114536171391659,0.148981928472586,0.113176773884236,0.0985621576295485,0.124155637363035,0.164738175412467,0.0868748462394481,0.182762593492206,0.53656217442566,0.124621249999644,0.285454316849489,0.489698089165212,0.0672389693139395,0.175750267232806,0.201528431622617,0.0557920504797779,0.185809840335486,0.145339151664412,0.202629672319563,0.30296627984666
"cg00447208",0.618525051,0.682591832,0.379495678,0.330874037,0.527958318,0.598528156,0.148404136,0.606960981,0.291528134,0.415435685,0.454708453,0.303562883,0.343673778,0.508427633,0.388298639,0.561407068,0.552738052,0.584059108,0.344895405,0.59386659,0.601490971,0.570864456,0.613114501,0.462166767,0.41007629,0.509708291,0.477493715,0.311959175,0.547177941,0.804390054,0.688285571,0.731032045,0.650442478,0.299228544,0.409103551,0.664479081,0.445163527,0.369479235,0.595112414,0.536771337,0.316847363,0.336636971,0.432616261,0.408513447,0.261550252,0.347820145,0.337548638,0.316087732,0.550811522,0.309519409,0.497645548,0.269915966,0.298050139,0.36002707,0.818729097,0.710817942,0.658607979,0.443350108,0.628863988,0.472023109,0.549294646,0.518146647,0.582140423,0.23155416,0.158817758,0.445820433,0.586126381392539,0.465935306371361,0.487391814342408,0.41099480712785,0.697351800336685,0.338428873728409,0.295297108480578,0.465362657935312,0.458274976340784,0.288077010414115,0.681601248843634,0.799330572476696,0.619390604839142,0.422104219240291,0.729978010200097,0.605950652265227,0.602743790625554,0.429437982926085,0.446718834505293,0.65678536373151,0.662911410581468,0.71157880370611,0.485321290208238,0.630139862723697,0.666953919451368,0.684297898617355,0.586175757442445,0.421540079865995,0.617698922603787,0.60693770525744,0.646957388616965,0.633435255690119,0.552807558962639,0.350634615297263,0.7260420445048,0.487835807023919,0.281819066942993,0.39948009486838,0.785176161985462,0.437642486199194,0.4116089382154,0.507187090921677,0.570239840083725,0.310488388102486,0.453675885759692,0.391106952097085
"cg00499822",0.650375206,0.633617036,0.252833361,0.404519906,0.54040827,0.216277238,0.295040986,0.331982807,0.423117796,0.243186669,0.631939001,0.248768105,0.241206714,0.290253096,0.415409941,0.43144018,0.168809104,0.638242621,0.323697647,0.722243545,0.254073468,0.323589878,0.585831063,0.337606201,0.235414589,0.562741668,0.612413154,0.173990725,0.500443053,0.899263278,0.28908046,0.334653745,0.369820995,0.370098951,0.508795828,0.291799478,0.19261317,0.221150194,0.284925781,0.379063048,0.32263568,0.492356153,0.338495816,0.441596925,0.378911852,0.519727725,0.159904535,0.206779988,0.357258403,0.233050305,0.219327083,0.206441536,0.502796902,0.255288394,0.818876551,0.636210373,0.428313896,0.672693957,0.308610769,0.207280621,0.482018561,0.687676232,0.363061061,0.241759122,0.620726496,0.640947992,0.393399241352175,0.247134121360538,0.220503022254472,0.140157410059108,0.534468407783228,0.204864657408338,0.32557033404845,0.193396974922197,0.453911029020058,0.241394209471965,0.0558523442251399,0.619654986985757,0.5268577365525,0.338651237761426,0.29509840531267,0.358324549748244,0.135086981579827,0.320057356994152,0.469351689093096,0.441741692976039,0.55879050266166,0.412862890332475,0.395889294085232,0.176269144420462,0.1515134267249,0.509252141754255,0.321518226821891,0.234294659931569,0.273141824668411,0.547348929204264,0.278560854641944,0.499340791030213,0.367984254290031,0.512885401622119,0.768306738503484,0.517896604669476,0.237256257413637,0.468627840185544,0.529406092741753,0.146555497544587,0.181655329245882,0.755702433380878,0.391068685688253,0.538955061239004,0.292910313706639,0.28734748720167
"cg00619207",0.654859661,0.328408966,0.476475645,0.430365335,0.63140075,0.784928874,0.731296977,0.381525381,0.565711754,0.676802943,0.49900783,0.604482075,0.721371095,0.525794125,0.46777752,0.566696509,0.576098266,0.627376426,0.234583598,0.744590688,0.783793876,0.646281723,0.43130903,0.608365161,0.395508883,0.718644238,0.566927005,0.723391704,0.709944327,0.323402196,0.84747787,0.607754462,0.85142817,0.480821178,0.601930579,0.793766297,0.638958904,0.544397412,0.637718178,0.329283726,0.568647717,0.336327753,0.642405518,0.479335724,0.567984236,0.387279955,0.062736922,0.601079663,0.665594258,0.511294554,0.537881346,0.416196501,0.295809414,0.771239051,0.652887302,0.393689644,0.655224395,0.652017235,0.643012975,0.422255526,0.616478914,0.463782431,0.691271142,0.456096358,0.851736366,0.719679377,0.569386804038829,0.485450408142895,0.64530465717973,0.388658765770457,0.673178432597575,0.446603302300696,0.511412666787281,0.453504781704289,0.694682983165136,0.415723575541841,0.869935722260503,0.0984629312339729,0.848110811972897,0.531311124627749,0.868235515891327,0.47254730718123,0.612859434711322,0.208610247231975,0.570269472557343,0.615016302790448,0.633555621583276,0.670244674541829,0.46588663448522,0.717421433665309,0.210300705786744,0.650235959022501,0.47511142309708,0.345920843207912,0.858420094027645,0.402243420867248,0.668580111009111,0.60239055360249,0.537949825920366,0.436828516462565,0.763901109686093,0.578020693590087,0.27747389909232,0.403695882282861,0.589399223769935,0.430618731244777,0.435070855651965,0.671724864254642,0.640033389215564,0.193878376746122,0.513596471817006,0.588845301644096
"cg00633969",0.520879272,0.867429186,0.641243666,0.854091124,0.389680787,0.720299535,0.456029233,0.470198675,0.864086923,0.791161934,0.629649824,0.729972845,0.546809151,0.360339428,0.63280535,0.862638781,0.469450839,0.86433819,0.301973922,0.57401517,0.670715868,0.59546621,0.479714192,0.614384014,0.764508267,0.725554535,0.748095304,0.833443272,0.827669903,0.874176153,0.678040126,0.729599407,0.915370419,0.812169312,0.636612489,0.750174297,0.532828899,0.813899139,0.84489917,0.657304395,0.846861582,0.718850482,0.909253464,0.702887538,0.796805112,0.921606488,0.498601678,0.80553827,0.828270796,0.444515103,0.465399402,0.650721336,0.903914591,0.820758059,0.462510187,0.876545595,0.861424119,0.329754285,0.85650837,0.421065145,0.866658765,0.72328303,0.861199902,0.817342565,0.603821162,0.888709156,0.750897070564513,0.777988808410752,0.864222675273985,0.954529912972984,0.714169290598401,0.696044846034313,0.906897610017449,0.754062947831273,0.785923714216525,0.947557086874685,0.952934198797299,0.965951665827282,0.942617840635794,0.920367052608963,0.806087513843323,0.598619276527383,0.369132376068657,0.706725399029984,0.93393069664308,0.962970844058786,0.951341686796618,0.948904842438706,0.845676484832987,0.808604259225311,0.650494014185934,0.458152245327355,0.678398542006857,0.686602989854687,0.727615849090404,0.719736861419151,0.529616937492678,0.935993165256857,0.862215566866838,0.790983745912595,0.442842822876941,0.938654560225963,0.76261965573359,0.904357876496866,0.844546813429137,0.931020073045501,0.510905966684544,0.419288593343047,0.920775137213771,0.725997899988921,0.801211148029397,0.871066220600684
